"id","trial","center.N","rmse.N","rmse.V","valid.newtons","valid.volts","block","order"
581,1,8.76895668069367,0.539873465709495,0.0206066439829572,0.9744,0.9744,"Second",1
581,2,8.76895668069367,0.801799322731997,0.0306041956842627,0.8032,0.8032,"Second",1
581,3,8.76895668069367,0.701220073919741,0.0267651465292469,0.908,0.908,"Second",1
581,4,8.76895668069367,2.11606092380333,0.080768766891993,0.452,0.452,"Second",1
581,5,8.76895668069367,1.13307308166183,0.0432487148998754,0.6892,0.6892,"Second",1
581,6,8.76895668069367,1.20854136174273,0.046129293551003,0.6048,0.6048,"Second",1
581,7,8.76895668069367,0.73911870028559,0.0282117141984652,0.8596,0.8596,"Second",1
581,8,8.76895668069367,0.627396331442741,0.0239473388847949,0.926,0.926,"Second",1
581,9,8.76895668069367,2.17829632622679,0.0831442545985262,0.2748,0.2748,"Second",1
581,10,8.76895668069367,0.895530496101945,0.0341818579374001,0.7864,0.7864,"Second",1
641,1,10.8872301604515,0.461548610358376,0.0176170315797693,0.986,0.986,"First",2
641,2,10.8872301604515,0.315838268327204,0.0120553558657661,1,1,"First",2
641,3,10.8872301604515,0.448021857582961,0.0171007235994871,0.9988,0.9988,"First",2
641,4,10.8872301604515,0.371101122593338,0.0141647056220977,0.9972,0.9972,"First",2
641,5,10.8872301604515,0.271679799136576,0.0103698537782578,1,1,"First",2
641,6,10.8872301604515,0.321352981759668,0.0122658491453746,1,1,"First",2
641,7,10.8872301604515,0.8354753924382,0.0318895909171419,0.9064,0.9064,"First",2
641,8,10.8872301604515,0.36555867665256,0.0139531538094034,1,1,"First",2
641,9,10.8872301604515,0.580957994118155,0.0221748156081589,0.97,0.97,"First",2
641,10,10.8872301604515,0.526152334867756,0.0200829167093307,0.9896,0.9896,"First",2
161,1,15.2155808362939,0.756684684912501,0.0288821972179282,0.9916,0.9916,"Second",3
161,2,15.2155808362939,3.48722241662217,0.133105172587586,0.7308,0.7308,"Second",3
161,3,15.2155808362939,0.853125154211063,0.0325632716596459,0.982,0.982,"Second",3
161,4,15.2155808362939,1.06164814239258,0.0405224681244543,0.94,0.94,"Second",3
161,5,15.2155808362939,0.793716720027428,0.0302956876227119,0.9768,0.9768,"Second",3
161,6,15.2155808362939,0.928500253967591,0.0354402936740941,0.9676,0.9676,"Second",3
161,7,15.2155808362939,1.12737685877994,0.0430312935142539,0.9072,0.9072,"Second",3
161,8,15.2155808362939,0.96167939751899,0.0367067215358979,0.954,0.954,"Second",3
161,9,15.2155808362939,1.28563762699642,0.0490720114125127,0.8416,0.8416,"Second",3
161,10,15.2155808362939,2.11265808858601,0.0806388827278146,0.6696,0.6696,"Second",3
821,1,8.63295196667942,1.23557700138099,0.0471612275804798,0.6776,0.6776,"First",4
821,2,8.63295196667942,3.46370392768678,0.1322074860753,0.328,0.328,"First",4
821,3,8.63295196667942,1.46089296316388,0.0557614017009764,0.6272,0.6272,"First",4
821,4,8.63295196667942,3.36817890791112,0.128561353788737,0.3172,0.3172,"First",4
821,5,8.63295196667942,5.26859097227703,0.201098934015689,0.1556,0.1556,"First",4
821,6,8.63295196667942,4.78900707042768,0.182793506257021,0.2132,0.2132,"First",4
821,7,8.63295196667942,3.95433831282559,0.150934704104187,0.4528,0.4528,"First",4
821,8,8.63295196667942,5.16753525603317,0.197241698386701,0.2364,0.2364,"First",4
821,9,8.63295196667942,5.46350729051499,0.208538772110195,0.1564,0.1564,"First",4
821,10,8.63295196667942,6.57863822734538,0.251102646182884,0.162,0.162,"First",4
239,1,14.1411433478812,4.46617568754924,0.170471227434224,0.5056,0.5056,"Second",5
239,2,14.1411433478812,3.35983321322027,0.128242803665036,0.3836,0.3836,"Second",5
239,3,14.1411433478812,5.71460478544797,0.218123011773273,0.6084,0.6084,"Second",5
239,4,14.1411433478812,6.80849507546596,0.259876143191189,0.0224,0.0224,"Second",5
239,5,14.1411433478812,5.84376853909152,0.223053114206325,0.1584,0.1584,"Second",5
239,6,14.1411433478812,6.03297670245815,0.230275075478383,0.2996,0.2996,"Second",5
239,7,14.1411433478812,8.7288011127168,0.333173064342792,0.378,0.378,"Second",5
239,8,14.1411433478812,9.89570488036358,0.377713076085484,0.0616,0.0616,"Second",5
239,9,14.1411433478812,7.97931420066389,0.304565601765865,0.0716,0.0716,"Second",5
239,10,14.1411433478812,7.60808059327316,0.290395839279101,0.1036,0.1036,"Second",5
744,1,11.0674364176822,0.500562123445058,0.0191061538014832,0.9912,0.9912,"Second",6
744,2,11.0674364176822,0.570402240241445,0.0217719088606987,0.986,0.986,"Second",6
744,3,11.0674364176822,0.597507104084961,0.0228064851362633,0.99,0.99,"Second",6
744,4,11.0674364176822,0.568871531334653,0.0217134826266137,0.9764,0.9764,"Second",6
744,5,11.0674364176822,0.588453275815891,0.0224609059817509,0.9816,0.9816,"Second",6
744,6,11.0674364176822,0.481047115520052,0.0183612777403738,0.9924,0.9924,"Second",6
744,7,11.0674364176822,0.607082171307295,0.0231719596666779,0.9708,0.9708,"Second",6
744,8,11.0674364176822,0.803782260090376,0.0306798832050985,0.928,0.928,"Second",6
744,9,11.0674364176822,0.354851194509027,0.0135444556856761,1,1,"Second",6
744,10,11.0674364176822,0.418780180465103,0.0159845864523495,0.9992,0.9992,"Second",6
962,1,12.505686400856,4.43047771554903,0.169108657412459,0.362,0.362,"Second",7
962,2,12.505686400856,5.13608256098608,0.196041168021149,0.2688,0.2688,"Second",7
962,3,12.505686400856,2.81124501934816,0.107303523773738,0.5008,0.5008,"Second",7
962,4,12.505686400856,4.55619091209295,0.173907054165921,0.3148,0.3148,"Second",7
962,5,12.505686400856,5.36706987422523,0.204857814199978,0.138,0.138,"Second",7
962,6,12.505686400856,6.99578005720786,0.267024697782658,0.1512,0.1512,"Second",7
962,7,12.505686400856,5.66628926574954,0.216278837579661,0.1208,0.1208,"Second",7
962,8,12.505686400856,6.69366975526945,0.255493330099219,0.0884,0.0884,"Second",7
962,9,12.505686400856,5.22446497309423,0.19941467128876,0.3484,0.3484,"Second",7
962,10,12.505686400856,4.40504400374201,0.168137868000382,0.196,0.196,"Second",7
760,1,10.0644016030311,1.18325267180795,0.0451640395361638,0.8204,0.8204,"First",8
760,2,10.0644016030311,0.435339043981446,0.0166166282675463,1,1,"First",8
760,3,10.0644016030311,0.950493934091787,0.0362797791553795,0.906,0.906,"First",8
760,4,10.0644016030311,0.433948374843093,0.0165635472668076,0.9964,0.9964,"First",8
760,5,10.0644016030311,0.406140108775989,0.0155021225533795,1,1,"First",8
760,6,10.0644016030311,3.8906172675799,0.148502510308787,0.7592,0.7592,"First",8
760,7,10.0644016030311,4.31762409841819,0.164801103035161,0.58,0.58,"First",8
760,8,10.0644016030311,0.349954449222819,0.0133575498768205,0.9952,0.9952,"First",8
760,9,10.0644016030311,0.425253546017605,0.0162316709041416,1,1,"First",8
760,10,10.0644016030311,0.46197073529549,0.017633143833562,0.9756,0.9756,"First",8
438,1,5.69865032548373,0.247596275691031,0.00945060024012484,0.9876,0.9876,"Second",9
438,2,5.69865032548373,0.240892855297071,0.00919473473403837,1,1,"Second",9
438,3,5.69865032548373,0.305041158564771,0.0116432367099802,0.9732,0.9732,"Second",9
438,4,5.69865032548373,0.268846229001964,0.0102616981183237,0.9936,0.9936,"Second",9
438,5,5.69865032548373,0.24747591175405,0.00944600602137679,0.9904,0.9904,"Second",9
438,6,5.69865032548373,0.887332449566994,0.0338689434545973,0.932,0.932,"Second",9
438,7,5.69865032548373,0.540067077803683,0.0206140340396077,0.9244,0.9244,"Second",9
438,8,5.69865032548373,0.258068402512129,0.00985031499340164,0.976,0.976,"Second",9
438,9,5.69865032548373,0.328927586133825,0.012554967217597,0.9616,0.9616,"Second",9
438,10,5.69865032548373,0.24111390004646,0.00920317187856254,0.9996,0.9996,"Second",9
164,1,6.55207987886947,0.311493428210095,0.0118895159437419,0.992,0.992,"Second",10
164,2,6.55207987886947,0.305731632110075,0.0116695916680055,0.9808,0.9808,"Second",10
164,3,6.55207987886947,0.352679370766523,0.0134615584856874,0.9816,0.9816,"Second",10
164,4,6.55207987886947,0.397924899155144,0.0151885529659584,0.9608,0.9608,"Second",10
164,5,6.55207987886947,0.485810837271918,0.0185431061212992,0.9168,0.9168,"Second",10
164,6,6.55207987886947,0.397015918751379,0.0151538577331722,0.9528,0.9528,"Second",10
164,7,6.55207987886947,0.294001216075066,0.0112218487757192,0.9832,0.9832,"Second",10
164,8,6.55207987886947,0.296098940517585,0.0113019176501998,0.9876,0.9876,"Second",10
164,9,6.55207987886947,0.320516578224138,0.0122339241277964,0.9868,0.9868,"Second",10
164,10,6.55207987886947,0.35380598696792,0.0135045607453689,0.9856,0.9856,"Second",10
354,1,14.2397467855843,6.03032366773633,0.230173810746072,0.5148,0.5148,"Second",11
354,2,14.2397467855843,0.679369525282591,0.025931124290339,0.9704,0.9704,"Second",11
354,3,14.2397467855843,3.56245553584545,0.135976775290868,0.6896,0.6896,"Second",11
354,4,14.2397467855843,2.18651965584384,0.083458134121296,0.7172,0.7172,"Second",11
354,5,14.2397467855843,4.63437275065759,0.176891207704782,0.3084,0.3084,"Second",11
354,6,14.2397467855843,1.79621067001548,0.0685602759653225,0.7088,0.7088,"Second",11
354,7,14.2397467855843,5.43115767887691,0.207304006980301,0.3692,0.3692,"Second",11
354,8,14.2397467855843,5.22123647444977,0.19929144144623,0.5824,0.5824,"Second",11
354,9,14.2397467855843,3.04746053881164,0.116319727425155,0.6688,0.6688,"Second",11
354,10,14.2397467855843,1.87730749670081,0.0716556928394522,0.604,0.604,"Second",11
996,1,9.46938096425764,0.354556696918132,0.0135332148905734,1,1,"First",12
996,2,9.46938096425764,0.757752370742216,0.0289229501409297,0.9148,0.9148,"First",12
996,3,9.46938096425764,0.423744859729282,0.016174085260097,0.9856,0.9856,"First",12
996,4,9.46938096425764,1.01214307341158,0.0386328895534785,0.8872,0.8872,"First",12
996,5,9.46938096425764,2.33165509971118,0.0889978663197518,0.7884,0.7884,"First",12
996,6,9.46938096425764,0.663347584359727,0.025319576486115,0.9364,0.9364,"First",12
996,7,9.46938096425764,1.08144693123825,0.041278175931839,0.9232,0.9232,"First",12
996,8,9.46938096425764,0.66757432454567,0.025480908605125,0.9172,0.9172,"First",12
996,9,9.46938096425764,1.57858271074194,0.0602535482553509,0.8656,0.8656,"First",12
996,10,9.46938096425764,0.806181817847942,0.0307714728748403,0.8596,0.8596,"First",12
173,1,7.07229789578247,0.716244862876774,0.0273386336454358,0.886,0.886,"Second",13
173,2,7.07229789578247,0.790364259284682,0.0301677262217902,0.81,0.81,"Second",13
173,3,7.07229789578247,1.2329811768606,0.0470621465269895,0.538,0.538,"Second",13
173,4,7.07229789578247,0.390454454400266,0.0149034106034683,0.972,0.972,"Second",13
173,5,7.07229789578247,0.91849590767914,0.0350584338211054,0.7304,0.7304,"Second",13
173,6,7.07229789578247,0.60236380315896,0.0229918624053956,0.8804,0.8804,"Second",13
173,7,7.07229789578247,0.57808634757862,0.0220652065948556,0.902,0.902,"Second",13
173,8,7.07229789578247,0.546630012280766,0.0208645372831316,0.9124,0.9124,"Second",13
173,9,7.07229789578247,0.452432349403299,0.0172690694073552,0.9292,0.9292,"Second",13
173,10,7.07229789578247,0.777919005059482,0.029692698387705,0.7828,0.7828,"Second",13
654,1,12.7742957452025,3.76592823841271,0.143743205405272,0.6348,0.6348,"First",14
654,2,12.7742957452025,0.943316951267125,0.0360058380574497,0.9204,0.9204,"First",14
654,3,12.7742957452025,0.470713152316505,0.0179668366088975,0.9832,0.9832,"First",14
654,4,12.7742957452025,0.295260661311673,0.0112699210394165,1,1,"First",14
654,5,12.7742957452025,0.322154049123992,0.0122964254026486,1,1,"First",14
654,6,12.7742957452025,0.363725642423299,0.0138831880004313,1,1,"First",14
654,7,12.7742957452025,0.326627360621303,0.0124671689996299,1,1,"First",14
654,8,12.7742957452025,0.406709906799322,0.0155238713996459,0.9976,0.9976,"First",14
654,9,12.7742957452025,0.299508340013477,0.0114320523689254,1,1,"First",14
654,10,12.7742957452025,0.437576891364924,0.0167020455500181,0.9956,0.9956,"First",14
214,1,11.5366527154734,2.85141579222319,0.108836817902332,0.8468,0.8468,"First",15
214,2,11.5366527154734,1.30891747064911,0.0499605889785528,0.7856,0.7856,"First",15
214,3,11.5366527154734,3.8881697386935,0.148409089610042,0.5504,0.5504,"First",15
214,4,11.5366527154734,0.848305251933253,0.0323792989019906,0.9076,0.9076,"First",15
214,5,11.5366527154734,0.724435756672794,0.0276512751125155,0.9292,0.9292,"First",15
214,6,11.5366527154734,0.465573910961657,0.0177706748716233,0.9988,0.9988,"First",15
214,7,11.5366527154734,1.21049856626572,0.0462039988650605,0.7932,0.7932,"First",15
214,8,11.5366527154734,0.931943147336061,0.0355717068336983,0.88,0.88,"First",15
214,9,11.5366527154734,0.735232864584446,0.0280633941976582,0.9616,0.9616,"First",15
214,10,11.5366527154734,0.803221854908126,0.0306584928779009,0.9396,0.9396,"First",15
298,1,9.54078344041871,0.76064597435812,0.0290333972425711,0.9184,0.9184,"Second",16
298,2,9.54078344041871,1.28734562959357,0.049137204839634,0.606,0.606,"Second",16
298,3,9.54078344041871,3.53741214103324,0.135020884042644,0.222,0.222,"Second",16
298,4,9.54078344041871,2.0371180363347,0.0777555645763084,0.5736,0.5736,"Second",16
298,5,9.54078344041871,4.20994601380753,0.16069109560699,0.2084,0.2084,"Second",16
298,6,9.54078344041871,4.30673448868224,0.164385453211277,0.1452,0.1452,"Second",16
298,7,9.54078344041871,2.78344640632482,0.106242467511158,0.534,0.534,"Second",16
298,8,9.54078344041871,5.14015884074687,0.196196757156642,0.3132,0.3132,"Second",16
298,9,9.54078344041871,5.06121891696576,0.193183667963119,0.0444,0.0444,"Second",16
298,10,9.54078344041871,5.14861694225982,0.196519597780824,0.16,0.16,"Second",16
55,1,11.7304594495485,4.89787832762497,0.186949056361883,0.4804,0.4804,"First",17
55,2,11.7304594495485,1.43340448276667,0.0547121830133467,0.6696,0.6696,"First",17
55,3,11.7304594495485,0.946656136296175,0.036133292732401,0.8784,0.8784,"First",17
55,4,11.7304594495485,1.23876139745554,0.0472827740545646,0.726,0.726,"First",17
55,5,11.7304594495485,1.30468583078241,0.0497990698416888,0.7112,0.7112,"First",17
55,6,11.7304594495485,1.30004851224387,0.0496220661950405,0.7628,0.7628,"First",17
55,7,11.7304594495485,1.63839089001322,0.062536390320746,0.6856,0.6856,"First",17
55,8,11.7304594495485,1.88628475695443,0.0719983494390791,0.5252,0.5252,"First",17
55,9,11.7304594495485,3.81148605621861,0.145482119783908,0.152,0.152,"First",17
55,10,11.7304594495485,3.7852245557234,0.14447973417777,0.2112,0.2112,"First",17
494,1,11.6454564958301,2.97666853983674,0.113617639598334,0.6108,0.6108,"Second",18
494,2,11.6454564958301,2.05852024863362,0.0785724740880805,0.5388,0.5388,"Second",18
494,3,11.6454564958301,1.42227281109328,0.0542872938315691,0.73,0.73,"Second",18
494,4,11.6454564958301,2.26523331088638,0.0864625867737843,0.4768,0.4768,"Second",18
494,5,11.6454564958301,2.46958831707648,0.0942626938843651,0.5848,0.5848,"Second",18
494,6,11.6454564958301,4.65453939688909,0.177660956406317,0.18,0.18,"Second",18
494,7,11.6454564958301,3.85685362656382,0.147213772531922,0.2776,0.2776,"Second",18
494,8,11.6454564958301,4.62805825895261,0.176650187371755,0.3596,0.3596,"Second",18
494,9,11.6454564958301,3.66157810240532,0.139760223764469,0.3152,0.3152,"Second",18
494,10,11.6454564958301,3.64560034734754,0.139150362508017,0.2952,0.2952,"Second",18
989,1,5.20903337142084,3.02578694534468,0.115492459458173,0.3028,0.3028,"First",19
989,2,5.20903337142084,2.68311224316174,0.102412773127285,0.2472,0.2472,"First",19
989,3,5.20903337142084,2.48106954388092,0.0947009253742861,0.3584,0.3584,"First",19
989,4,5.20903337142084,1.43776032827235,0.0548784430044029,0.5252,0.5252,"First",19
989,5,5.20903337142084,1.73302391324909,0.0661484756383486,0.4596,0.4596,"First",19
989,6,5.20903337142084,3.11363117012341,0.118845420440605,0.2116,0.2116,"First",19
989,7,5.20903337142084,0.87142697778543,0.0332618412071235,0.7048,0.7048,"First",19
989,8,5.20903337142084,0.790553133623464,0.0301749354411796,0.7452,0.7452,"First",19
989,9,5.20903337142084,0.424242290180338,0.0161930718798556,0.8624,0.8624,"First",19
989,10,5.20903337142084,1.98178262561895,0.0756434453841348,0.7964,0.7964,"First",19
217,1,15.4773899813472,2.71540894801636,0.103645518837221,0.5856,0.5856,"Second",20
217,2,15.4773899813472,1.95844655721913,0.0747527217534689,0.6648,0.6648,"Second",20
217,3,15.4773899813472,4.25406171373732,0.162374965217654,0.5332,0.5332,"Second",20
217,4,15.4773899813472,3.12624203386818,0.119326769489987,0.496,0.496,"Second",20
217,5,15.4773899813472,2.19305944098061,0.0837077537684877,0.6544,0.6544,"Second",20
