id,trial,Reason
581,4,
161,2,
438,6,
438,7,
654,1,
214,1,
281,5,
509,1,
831,8,
831,10,
84,9,
84,10,
765,1,
606,9,
652,7,
235,1,
43,10,
726,1,
175,4,
493,7,
889,1,
889,2,
169,9,
150,8,Nonstationarity
108,5,0 period at start
